Unnamed: 0.1,Unnamed: 0,index,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee,trip_duraion,Plongitude,Platitude,Dlongitude,Dlatitude,pickup_date,st_abb,st_code,date,stability,tmin,tmax,tavg,ppt
0,0,1850612,2,2023-10-01 00:00:00,2023-10-01 00:13:01,1.0,3.47,1.0,N,164,262,1,17.0,1.0,0.5,5.5,0.0,1.0,27.5,2.5,0.0,13.016666666666667,-73.98362519999995,40.7439431149999,-73.94588094499986,40.78165816599989,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
1,1,1899716,2,2023-10-01 00:00:00,2023-10-01 00:06:50,4.0,1.36,1.0,N,141,163,1,8.6,1.0,0.5,1.0,0.0,1.0,14.6,2.5,0.0,6.833333333333333,-73.95786874099996,40.765242324999896,-73.97025814699983,40.76228875299991,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
2,2,1615889,1,2023-10-01 00:00:01,2023-10-01 00:17:52,1.0,3.0,1.0,N,170,231,1,18.4,3.5,0.5,4.65,0.0,1.0,28.05,2.5,0.0,17.85,-73.98272387399996,40.75095894399991,-73.999956209,40.71801709499989,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
3,3,1602363,2,2023-10-01 00:00:01,2023-10-01 00:23:41,3.0,3.66,1.0,N,262,262,1,23.3,1.0,0.5,7.08,0.0,1.0,35.38,2.5,0.0,23.666666666666668,-73.94642443299978,40.78091753399991,-73.946197187,40.78122601799986,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
4,4,2110464,2,2023-10-01 00:00:02,2023-10-01 00:06:29,1.0,1.3,1.0,N,144,87,1,8.6,1.0,0.5,2.0,0.0,1.0,15.6,2.5,0.0,6.45,-73.99379527399988,40.72093644299991,-74.00999520599994,40.70533123899991,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
5,5,834781,2,2023-10-01 00:00:02,2023-10-01 00:16:41,1.0,3.95,1.0,N,186,263,1,19.8,1.0,0.5,4.96,0.0,1.0,29.76,2.5,0.0,16.65,-73.99096832799995,40.74542088999988,-73.9554072979999,40.776868479999926,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
6,6,2933399,2,2023-10-01 00:00:02,2023-10-01 00:34:54,1.0,6.23,1.0,N,148,239,1,36.6,1.0,0.5,8.32,0.0,1.0,49.92,2.5,0.0,34.86666666666667,-73.99542875899999,40.717279242999936,-73.980673654,40.77992518199992,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
7,7,1551555,1,2023-10-01 00:00:03,2023-10-01 00:16:46,1.0,2.9,1.0,N,43,68,3,16.3,3.5,0.5,0.0,0.0,1.0,21.3,2.5,0.0,16.716666666666665,-73.97072777399985,40.76739372199989,-74.002431475,40.7500727519999,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
8,8,1851115,2,2023-10-01 00:00:04,2023-10-01 00:06:29,5.0,0.86,1.0,N,246,68,1,7.9,1.0,0.5,3.87,0.0,1.0,16.77,2.5,0.0,6.416666666666667,-74.01183642872407,40.74512596367872,-73.99897237399988,40.74463005499994,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
9,9,822407,2,2023-10-01 00:00:05,2023-10-01 00:27:23,3.0,3.63,1.0,N,114,161,1,24.7,1.0,0.5,5.94,0.0,1.0,35.64,2.5,0.0,27.3,-73.99606314799985,40.73015526099991,-73.98134107099996,40.75864529799986,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
10,10,554543,2,2023-10-01 00:00:05,2023-10-01 00:17:39,1.0,1.92,1.0,N,249,234,1,17.0,1.0,0.5,1.0,0.0,1.0,23.0,2.5,0.0,17.566666666666666,-73.99780443099984,40.73603215799991,-73.9907539679999,40.73483915499988,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
11,11,423304,2,2023-10-01 00:00:05,2023-10-01 00:13:23,2.0,1.71,1.0,N,148,249,1,13.5,1.0,0.5,3.7,0.0,1.0,22.2,2.5,0.0,13.3,-73.99605872699998,40.7162316399999,-74.0016846549999,40.73058156199995,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
12,12,2294900,2,2023-10-01 00:00:06,2023-10-01 00:22:09,1.0,3.16,1.0,N,249,237,1,21.9,1.0,0.5,5.38,0.0,1.0,32.28,2.5,0.0,22.05,-74.0056870449999,40.73755187899992,-73.9611017069999,40.7690593189999,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
13,13,586947,1,2023-10-01 00:00:07,2023-10-01 00:11:23,1.0,1.7,1.0,N,79,162,2,10.7,3.5,0.5,0.0,0.0,1.0,15.7,2.5,0.0,11.266666666666667,-73.99050558599988,40.73056495699996,-73.97754284999984,40.7520635559999,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
14,14,1895461,2,2023-10-01 00:00:07,2023-10-01 00:17:35,1.0,1.91,1.0,N,107,186,1,16.3,1.0,0.5,4.26,0.0,1.0,25.56,2.5,0.0,17.466666666666665,-73.98542767799994,40.74147034899988,-73.99006749199991,40.746659282999936,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
15,15,2459837,1,2023-10-01 00:00:07,2023-10-01 00:06:15,1.0,0.9,1.0,N,48,48,1,7.2,3.5,0.5,2.4,0.0,1.0,14.6,2.5,0.0,6.133333333333334,-73.98473393799985,40.76416910499991,-73.99511286399995,40.75617577399986,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
16,16,2454532,2,2023-10-01 00:00:07,2023-10-01 00:15:13,1.0,1.6,1.0,N,249,231,1,14.2,1.0,0.5,3.84,0.0,1.0,23.04,2.5,0.0,15.1,-74.00220337299997,40.72965325599995,-74.00591289899992,40.7222529489999,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
17,17,2972963,2,2023-10-01 00:00:08,2023-10-01 00:13:30,1.0,2.01,1.0,N,144,233,1,13.5,1.0,0.5,0.0,0.0,1.0,18.5,2.5,0.0,13.366666666666667,-73.99308859399994,40.72281909799991,-73.969623705834,40.74574671679439,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
18,18,2946878,1,2023-10-01 00:00:08,2023-10-01 00:16:58,1.0,2.5,1.0,N,249,170,1,16.3,3.5,0.5,1.0,0.0,1.0,22.3,2.5,0.0,16.833333333333332,-74.00559149599995,40.73813833999992,-73.97538295899986,40.74948305799993,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
19,19,2316672,2,2023-10-01 00:00:08,2023-10-01 00:23:58,2.0,5.27,1.0,N,137,223,1,27.5,1.0,0.5,6.5,0.0,1.0,39.0,2.5,0.0,23.83333333333333,-73.97257739454064,40.73749433836131,-73.88842375699991,40.76880764399987,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
20,20,1887853,2,2023-10-01 00:00:08,2023-10-01 00:02:40,1.0,0.51,1.0,N,90,90,2,5.1,1.0,0.5,0.0,0.0,1.0,10.1,2.5,0.0,2.533333333333333,-74.00252381499989,40.73975264399995,-73.99329166800001,40.74223330099994,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
21,21,603621,2,2023-10-01 00:00:09,2023-10-01 00:33:04,3.0,5.84,1.0,N,249,238,1,34.5,1.0,0.5,5.53,0.0,1.0,45.03,2.5,0.0,32.916666666666664,-74.00141242499994,40.73106525599992,-73.9679269639999,40.78722157099988,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
22,22,847982,1,2023-10-01 00:00:09,2023-10-01 00:17:25,,0.0,,,148,141,0,30.42,0.0,0.5,0.0,0.0,1.0,34.42,,,17.266666666666666,-73.99472479499984,40.71421571299988,-73.96167816899991,40.76001396699989,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
23,23,1430876,1,2023-10-01 00:00:10,2023-10-01 00:12:35,2.0,2.8,1.0,N,264,140,1,14.2,3.5,0.5,2.0,0.0,1.0,21.2,2.5,0.0,12.416666666666666,,,-73.9573173758794,40.759592212256514,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
24,24,188129,2,2023-10-01 00:00:10,2023-10-01 00:10:59,1.0,1.13,1.0,N,264,264,1,11.4,1.0,0.5,3.28,0.0,1.0,19.68,2.5,0.0,10.816666666666666,,,,,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
25,25,111719,2,2023-10-01 00:00:12,2023-10-01 00:23:23,,5.76,,,144,262,0,37.5,0.0,0.5,8.3,0.0,1.0,49.8,,,23.183333333333334,-74.001523638,40.71982079799995,-73.95079834699999,40.77492776799989,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
26,26,891056,1,2023-10-01 00:00:13,2023-10-01 00:11:29,1.0,3.4,1.0,N,79,140,1,15.6,3.5,0.5,4.1,0.0,1.0,24.7,2.5,0.0,11.266666666666667,-73.98034007599992,40.73044246099994,-73.94937332131488,40.76788219105435,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
27,27,1163729,2,2023-10-01 00:00:15,2023-10-01 00:32:37,1.0,4.59,1.0,N,114,263,1,30.3,1.0,0.5,7.06,0.0,1.0,42.36,2.5,0.0,32.36666666666667,-73.9991182469999,40.72654231299988,-73.95073913799986,40.78326170999989,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
28,28,2907496,2,2023-10-01 00:00:17,2023-10-01 00:21:38,1.0,3.24,1.0,N,231,48,1,21.2,1.0,0.5,5.0,0.0,1.0,31.2,2.5,0.0,21.35,-74.00830216299991,40.72397780899997,-73.98884253899993,40.75853349899993,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
29,29,77293,2,2023-10-01 00:00:18,2023-10-01 00:04:39,1.0,1.01,1.0,N,79,107,1,7.2,1.0,0.5,2.44,0.0,1.0,14.64,2.5,0.0,4.35,-73.97926849199995,40.72998142799986,-73.97857449799984,40.73667728099986,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
30,30,1171557,2,2023-10-01 00:00:18,2023-10-01 00:22:23,4.0,8.04,1.0,N,263,261,1,34.5,1.0,0.5,3.0,0.0,1.0,42.5,2.5,0.0,22.08333333333333,-73.946197187,40.78122601799986,-74.01668613099999,40.70479933799992,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
31,31,264851,2,2023-10-01 00:00:18,2023-10-01 00:17:36,1.0,3.23,1.0,N,164,263,1,19.1,1.0,0.5,4.82,0.0,1.0,28.92,2.5,0.0,17.3,-73.98247211999985,40.74843150099986,-73.9521220329999,40.78138670999995,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
32,32,1637414,2,2023-10-01 00:00:18,2023-10-01 00:27:46,2.0,3.75,1.0,N,113,229,1,24.7,1.0,0.5,5.94,0.0,1.0,35.64,2.5,0.0,27.466666666666665,-73.99734132799996,40.736667888999925,-73.96003900990611,40.75672535023881,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
33,33,1488396,2,2023-10-01 00:00:19,2023-10-01 00:32:37,2.0,4.32,1.0,N,148,48,1,29.6,1.0,0.5,5.0,0.0,1.0,39.6,2.5,0.0,32.3,-73.98791645999995,40.71733557399992,-73.98236545099999,40.7673921529999,2023-10-01,NY,36,2023-10-01,stable,9.61,21.318,15.464,0.546
